200	Mitla	Oaxaca	Mexico
500	Cuenca	Azuay	Ecuador
524	Ejutla	Oaxaca	Mexico
600	Cahokia	Illinois	United States
1000	L'Anse aux Meadows	Newfoundland	Canada
1000	Acoma Pueblo and Taos Pueblo	New Mexico	United States
1050	Motul	Yucatán	Mexico
1100	Cusco	Cusco Province	Peru
1100	Oraibi	Arizona	United States (Hopi Reservation)
1325	Tenochtitlan	Mexico City	Mexico
1450	Zuni Pueblo	New Mexico	United States
1470	Iximche	Chimaltenango	Guatemala
1492	La Navidad	Nord-Est	Haiti
1493	La Isabela	Puerto Plata	Dominican Republic
1498	Santo Domingo	Distrito Nacional	Dominican Republic
1502	Santa Cruz del Seibo	El Seibo	Dominican Republic
1504	Azua de Compostela	Azua	Dominican Republic
1504	Santiago de los Caballeros	Santiago	Dominican Republic
1505	Cotuí	Sánchez Ramírez	Dominican Republic
1506	Salvaleón de Higüey	La Altagracia	Dominican Republic
1508	Bonao	Monseñor Nouel	Dominican Republic
1508	Caparra	Puerto Rico	United States
1510	Santa Maria la Antigua del Darien	Urabá	Colombia
1510	Nombre de Dios	Colon	Panama
1511	Baracoa	Guantánamo	Cuba
1513	Bayamo	Granma	Cuba
1514	Trinidad	Santi Spiritu	Cuba
1515	Santiago	Santiago	Cuba
1519	Havana	Havana	Cuba
1519	"La Villa Rica de la Vera Cruz, (Veracruz)"	Veracruz	Mexico
1519	Panama City	Panamá	Panama
1520	Hato Mayor del Rey	Hato Mayor	Dominican Republic
1515	Cumaná	Sucre	Venezuela
1521	San Juan	Puerto Rico	United States
1524	Granada	Granada	Nicaragua
1524	Tecpán Guatemala	Chimaltenango	Guatemala
1524	Trujillo	Colón	Honduras
1525	Santa Marta	Magdalena	Colombia
1525	Acapulco	Guerrero	Mexico
1525	San Salvador	San Salvador	El Salvador
1526	Acámbaro	Guanajuato	Mexico
1526	Chimaltenango	Chimaltenango	Guatemala
1528	San Cristóbal de las Casas	Chiapas	Mexico
1529	Maracaibo	Zulia	Venezuela
1530	San Blas	Nayarit	Mexico
1531	Puebla	Puebla	Mexico
1532	Oaxaca	Oaxaca	Mexico
1532	Piura	Piura	Peru
1532	São Vicente	São Paulo	Brazil
1532	Tepic	Nayarit	Mexico
1533	Cananéia	São Paulo	Brazil
1533	Cartagena de Indias	Bolívar	Colombia
1534	Otavalo	Imbabura	Ecuador
1534	Quito	Pichincha	Ecuador
1534	Spanish Town	Saint Catherine	Jamaica
1534	Trujillo	La Libertad	Peru
1535	Lima	Lima	Peru
1535	Igarassu	Pernambuco	Brazil
1535	Olinda	Pernambuco	Brazil
1535	Vila Velha	Espírito Santo	Brazil
1535	Paria	Oruro	Bolivia
1536	Santiago de Cali	Valle del Cauca	Colombia
1536	Popayán	Cauca	Colombia
1536	San Pedro Sula	Cortés	Honduras
1536	Tupiza	Potosí	Bolivia
1537	Asunción		Paraguay
1537	Recife	Pernambuco	Brazil
1538	Bogotá	Cundinamarca	Colombia
1538	Guayaquil	Guayas	Ecuador
1538	Iguape	São Paulo	Brazil
1538	Sucre	Chuquisaca	Bolivia
1540	Arequipa	Arequipa	Peru
1540	Ayacucho	Ayacucho	Peru
1540	Campeche	Campeche	Mexico
1540	Yuriria	Guanajuato	Mexico
1540	Campeche	Campeche	Mexico
1541	Huánuco	Huánuco	Peru
1541	Moquegua	Moquegua	Peru
1541	Santiago	Santiago	Chile
1542	Guadalajara	Jalisco	Mexico
1542	Genaro Codina	Zacatecas	Mexico
1542	San Miguel de Allende	Guanajuato	Mexico
1542	Mérida	Yucatan	Mexico
1542	San Luis de la Paz	Guanajuato	Mexico
1543	Antigua Guatemala	Sacatepéquez	Guatemala
1543	Cobán	Alta Verapaz	Guatemala
1543	Santa Cruz Verapaz	Alta Verapaz	Guatemala
1545	Potosí	Potosí	Bolivia
1546	Neyba	Bahoruco	Dominican Republic
1546	Tepezalá	Aguascalientes	Mexico
1548	Asientos	Aguascalientes	Mexico
1548	La Paz	La Paz	Bolivia
1548	Pánuco	Zacatecas	Mexico
1548	Zacatecas	Zacatecas	Mexico
1549	Salvador	Bahia	Brazil
1550	Concepción	Concepción	Chile
1551	Vitória	Espírito Santo	Brazil
1552	Sonsonate	Sonsonate	El Salvador
1553	Santiago del Estero	Santiago del Estero	Argentina
1553	São Bernardo do Campo	São Paulo	Brazil
1554	Embu	São Paulo	Brazil
